URL,Pixel
https://xlcompare.com/,{'google-analytics.com': 'Website analytics tracking'}
https://xlcompare.com/,{'google-analytics.com': 'Website analytics tracking'}
https://www.opera.com/,{'google-analytics.com': 'Website analytics tracking'}
https://www.opera.com/,{'hotjar.com': 'User behavior tracking'}
https://www.opera.com/,{'facebook.com/tr': 'Facebook Pixel tracking'}
https://www.opera.com/,{'google-analytics.com': 'Website analytics tracking'}
https://www.opera.com/,{'clarity.ms': 'User behavior tracking'}
https://www.opera.com/,{'clarity.ms': 'User behavior tracking'}
https://www.opera.com/,{'clarity.ms': 'User behavior tracking'}
https://www.opera.com/,{'clarity.ms': 'User behavior tracking'}
https://www.opera.com/,https://connect.facebook.net/signals/config/1123357797681867?v=2.9.151&r=stable&domain=www.opera.com&hme=8ce74e881727851b4427183947937854816d72704925561b9de6420cd43214ee&ex_m=66%2C111%2C98%2C102%2C57%2C3%2C92%2C65%2C15%2C90%2C83%2C48%2C50%2C157%2C160%2C171%2C167%2C168%2C170%2C28%2C93%2C49%2C72%2C169%2C152%2C155%2C164%2C165%2C172%2C120%2C14%2C47%2C176%2C175%2C122%2C17%2C32%2C36%2C1%2C40%2C61%2C62%2C63%2C67%2C87%2C16%2C13%2C89%2C86%2C85%2C99%2C101%2C35%2C100%2C29%2C25%2C153%2C156%2C129%2C27%2C10%2C11%2C12%2C5%2C6%2C24%2C21%2C22%2C53%2C58%2C60%2C70%2C94%2C26%2C71%2C8%2C7%2C75%2C45%2C20%2C96%2C95%2C9%2C19%2C18%2C77%2C82%2C44%2C43%2C81%2C37%2C39%2C80%2C52%2C78%2C31%2C41%2C34%2C69%2C0%2C88%2C4%2C84%2C76%2C79%2C2%2C33%2C59%2C38%2C97%2C42%2C74%2C64%2C103%2C56%2C55%2C30%2C91%2C54%2C51%2C46%2C73%2C68%2C23%2C104
https://www.opera.com/,https://connect.facebook.net/en_US/fbevents.js
https://www.opera.com/,https://www.google-analytics.com/analytics.js
